"PVWatts: Hourly PV Performance Data"
"Requested Location:","Swan Island, Portland, OR 97217"
"Location:","Lat, Lon: 45.57, -122.7"
"Lat (deg N):","45.57"
"Long (deg W):","122.7"
"Elev (m):","46.150001525879"
"DC System Size (kW):","221.36"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.085"
"Capacity Factor (%)","12.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"2","27","13","512","190","11","1","636.646","31.372","117066.328","112673.844"
"2","27","14","498","160","10","0","541.318","33.343","98098.414","94361.258"
"2","27","15","656","80","9","0","466.33","29.291","84314.539","81018.852"
"2","27","16","473","66","8","0","254.965","20.391","45415.621","43208.02"
"2","27","17","159","22","7","0","54.891","9.482","9141.942","7739.076"
"2","27","18","0","0","7","0","0","7","0","0"
"2","27","19","0","0","6","0","0","6","0","0"
"2","27","20","0","0","5","0","0","5","0","0"
"2","27","21","0","0","5","0","0","5","0","0"
"2","27","22","0","0","5","0","0","5","0","0"
"2","27","23","0","0","5","0","0","5","0","0"
"2","28","0","0","0","5","0","0","5","0","0"
"2","28","1","0","0","5","0","0","5","0","0"
"2","28","2","0","0","6","0","0","6","0","0"
"2","28","3","0","0","6","0","0","6","0","0"
"2","28","4","0","0","6","0","0","6","0","0"
"2","28","5","0","0","7","1","0","7","0","0"
"2","28","6","0","0","8","2","0","8","0","0"
"2","28","7","117","37","8","1","66.513","7.582","12166.209","10703.989"
"2","28","8","269","102","8","1","225.589","13.333","43173.828","41021.836"
"2","28","9","365","149","9","1","384.466","20.283","73505.391","70535.438"
"2","28","10","54","215","9","2","264.784","15.652","52493.883","50105.629"
"2","28","11","111","264","9","2","370.21","18.101","72617.023","69673.039"
"2","28","12","237","272","9","1","498.385","24.53","94875.25","91243.945"
"2","28","13","475","205","8","1","625.275","28.004","116884.93","112498.969"
"2","28","14","0","15","8","1","14.221","9.422","2902.837","1617.965"
"2","28","15","0","63","8","1","59.823","7.436","12317.085","10851.868"
"2","28","16","481","75","1","1","268.083","7.752","50714.961","48372.836"
"2","28","17","33","25","1","1","32.35","0.93","6405.483","5055.106"
"2","28","18","0","0","1","1","0","1","0","0"
"2","28","19","0","0","0","1","0","0","0","0"
"2","28","20","0","0","0","0","0","0","0","0"
"2","28","21","0","0","0","0","0","0","0","0"
"2","28","22","0","0","0","0","0","0","0","0"
"2","28","23","0","0","0","0","0","0","0","0"
"3","1","0","0","0","0","0","0","0","0","0"
"3","1","1","0","0","0","0","0","0","0","0"
"3","1","2","0","0","0","0","0","0","0","0"
"3","1","3","0","0","0","0","0","0","0","0"
"3","1","4","0","0","0","0","0","0","0","0"
"3","1","5","0","0","0","0","0","0","0","0"
"3","1","6","0","0","0","0","0","0","0","0"
"3","1","7","0","14","0","0","13.253","-4.03","2864.426","1580.261"
"3","1","8","0","53","1","0","50.307","-1.145","10743.71","9309.583"
"3","1","9","0","122","1","0","118.771","3.285","24894.756","23167.299"
"3","1","10","59","233","2","0","288.743","12.572","58042.41","55507.152"
"3","1","11","102","266","2","0","365.004","17.094","71934.844","69010.719"
"3","1","12","18","222","3","0","235.779","13.933","47166.859","44915.281"
"3","1","13","16","217","3","0","228.767","12.401","46074.168","43850.086"
"3","1","14","0","136","3","0","132.088","8.395","27082.68","25307.119"
"3","1","15","0","110","3","0","106.768","6.045","22115.611","20448.195"
"3","1","16","367","93","2","0","245.869","10.735","46631.488","44393.406"
"3","1","17","91","28","1","0","47.608","3.067","8776.748","7380.953"
"3","1","18","0","0","1","0","0","1","0","0"
"3","1","19","0","0","0","0","0","0","0","0"
"3","1","20","0","0","0","0","0","0","0","0"
"3","1","21","0","0","0","0","0","0","0","0"
"3","1","22","0","0","0","0","0","0","0","0"
"3","1","23","0","0","0","0","0","0","0","0"
"3","2","0","0","0","1","0","0","1","0","0"
"3","2","1","0","0","1","0","0","1","0","0"
"3","2","2","0","0","1","0","0","1","0","0"
"3","2","3","0","0","1","0","0","1","0","0"
"3","2","4","0","0","1","0","0","1","0","0"
"3","2","5","0","0","2","0","0","2","0","0"
"3","2","6","0","0","2","0","0","2","0","0"
"3","2","7","0","23","2","0","21.801","-1.567","4664.052","3346.478"
"3","2","8","0","28","3","0","26.532","-0.079","5641.068","4305.148"
"3","2","9","0","71","3","1","67.447","2.686","14173.335","12670.947"
"3","2","10","0","78","4","1","74.14","4.181","15480.564","13951.684"
"3","2","11","0","161","4","1","156.834","7.066","32342.818","30448.59"
"3","2","12","8","201","4","1","204.955","9.162","41878.797","39758.578"
"3","2","13","0","131","4","1","126.361","6.793","26089.508","24335.873"
"3","2","14","0","116","4","1","111.662","5.831","23150.621","21460.982"
"3","2","15","0","41","4","1","38.892","3.224","8153.942","6770.16"
"3","2","16","0","48","4","1","45.552","3.015","9558.812","8147.847"
"3","2","17","0","11","4","1","10.41","1.834","2195.521","923.648"
"3","2","18","0","0","4","1","0","4","0","0"
"3","2","19","0","0","4","0","0","4","0","0"
"3","2","20","0","0","4","0","0","4","0","0"
"3","2","21","0","0","4","0","0","4","0","0"
"3","2","22","0","0","4","0","0","4","0","0"
"3","2","23","0","0","5","0","0","5","0","0"
"3","3","0","0","0","5","0","0","5","0","0"
"3","3","1","0","0","5","0","0","5","0","0"
"3","3","2","0","0","5","0","0","5","0","0"
"3","3","3","0","0","5","0","0","5","0","0"
"3","3","4","0","0","5","0","0","5","0","0"
"3","3","5","0","0","5","0","0","5","0","0"
"3","3","6","0","0","5","0","0","5","0","0"
"3","3","7","0","6","5","0","5.673","0.794","1201.612","0"
"3","3","8","511","88","6","0","324.211","16.767","60364.18","57766"
"3","3","9","663","109","7","0","538.574","28.262","98873.563","95110.711"
"3","3","10","707","134","8","0","694.525","35.779","124569.977","119902.953"
"3","3","11","753","139","9","0","799.951","40.931","140353.313","135080.516"
"3","3","12","34","248","10","0","288.267","26.124","54521.742","52080.313"
"3","3","13","97","269","10","0","363.035","24.734","69067.914","66226.469"
"3","3","14","278","215","10","0","441.996","28.093","82422","79184.641"
"3","3","15","166","165","10","0","272.176","22.719","51690.336","49322.977"
"3","3","16","431","71","9","0","247.427","19.337","44678.176","42488.957"
"3","3","17","1","26","7","0","25.177","8.156","5154.518","3827.752"
"3","3","18","0","0","6","0","0","6","0","0"
"3","3","19","0","0","5","0","0","5","0","0"
"3","3","20","0","0","5","0","0","5","0","0"
"3","3","21","0","0","5","0","0","5","0","0"
"3","3","22","0","0","4","0","0","4","0","0"
"3","3","23","0","0","4","0","0","4","0","0"
"3","4","0","0","0","4","0","0","4","0","0"
"3","4","1","0","0","3","0","0","3","0","0"
"3","4","2","0","0","3","0","0","3","0","0"
"3","4","3","0","0","3","0","0","3","0","0"
"3","4","4","0","0","3","0","0","3","0","0"
"3","4","5","0","0","3","0","0","3","0","0"
"3","4","6","0","0","3","0","0","3","0","0"
"3","4","7","98","44","3","0","70.929","1.815","13675.633","12183.264"
"3","4","8","226","109","5","0","218.677","12.113","42470.328","40335.629"
"3","4","9","380","156","7","0","415.503","23.13","78577.672","75457.102"
"3","4","10","787","101","9","0","716.992","36.643","128011.266","123215.43"
"3","4","11","417","235","10","0","624.702","36.537","112153.695","107936.25"
"3","4","12","546","201","11","0","708.045","39.514","125265.344","120572.438"
"3","4","13","218","270","12","0","473.624","33.497","86347.016","82988.07"
"3","4","14","185","228","13","0","380.993","29.688","70593.633","67708.344"
"3","4","15","133","168","12","0","256.802","23.583","48670.719","46381"
"3","4","16","332","83","11","0","223.8","20.244","40751.121","38658.355"
"3","4","17","111","28","9","0","50.418","10.865","8798.362","7402.149"
"3","4","18","0","0","8","0","0","8","0","0"
"3","4","19","0","0","8","0","0","8","0","0"
"3","4","20","0","0","8","0","0","8","0","0"
"3","4","21","0","0","7","0","0","7","0","0"
"3","4","22","0","0","7","0","0","7","0","0"
"3","4","23","0","0","6","0","0","6","0","0"
"3","5","0","0","0","6","0","0","6","0","0"
"3","5","1","0","0","6","0","0","6","0","0"
"3","5","2","0","0","6","0","0","6","0","0"
"3","5","3","0","0","6","0","0","6","0","0"
"3","5","4","0","0","6","0","0","6","0","0"
"3","5","5","0","0","5","0","0","5","0","0"
"3","5","6","0","0","6","0","0","6","0","0"
"3","5","7","189","48","8","0","98.827","8.419","17863.064","16285.218"
"3","5","8","117","117","10","0","175.731","15.605","34075.297","32141.049"
"3","5","9","114","186","11","0","270.756","21.258","52063.184","49686.145"
"3","5","10","239","239","13","0","439.847","30.189","81343.984","78139.602"
"3","5","11","571","186","14","0","700.438","40.93","122964.984","118357.414"
"3","5","12","877","92","15","0","865.788","48.423","146225.813","140717.844"
"3","5","13","861","91","15","0","823.367","48.06","139145.031","133919.969"
"3","5","14","814","88","15","0","700.426","44.134","120147.266","115643.102"
"3","5","15","728","81","14","0","520.255","36.833","90930.563","87426.633"
"3","5","16","574","63","13","0","297.809","27.165","51471.277","49109.602"
"3","5","17","247","29","11","0","77.472","14.909","12313.611","10848.464"
"3","5","18","0","0","10","0","0","10","0","0"
"3","5","19","0","0","9","0","0","9","0","0"
"3","5","20","0","0","7","0","0","7","0","0"
"3","5","21","0","0","6","0","0","6","0","0"
"3","5","22","0","0","6","0","0","6","0","0"
"3","5","23","0","0","6","0","0","6","0","0"
"3","6","0","0","0","6","0","0","6","0","0"
"3","6","1","0","0","6","0","0","6","0","0"
"3","6","2","0","0","5","0","0","5","0","0"
"3","6","3","0","0","5","0","0","5","0","0"
"3","6","4","0","0","4","0","0","4","0","0"
"3","6","5","0","0","4","0","0","4","0","0"
"3","6","6","0","0","4","0","0","4","0","0"
"3","6","7","402","40","6","0","139.975","8.656","23595.221","21895.988"
"3","6","8","659","67","8","0","372.827","21.858","67516.75","64719.516"
"3","6","9","699","88","11","0","544.967","32.607","98021.711","94287.094"
"3","6","10","413","208","14","0","556.756","36.988","99485.344","95702.141"
"3","6","11","448","233","15","0","651.253","41.028","114323","110028.727"
"3","6","12","0","28","16","0","26.589","21.49","5140.483","3813.981"
"3","6","13","558","191","17","0","687.469","40.755","120756.57","116230.148"
"3","6","14","630","134","16","0","623.273","41.872","108307.469","104224.477"
"3","6","15","666","87","15","0","493.049","36.386","86480.25","83117.133"
"3","6","16","349","85","13","0","233.652","24.673","41702.727","39586.809"
"3","6","17","38","31","11","0","39.195","12.563","7405.124","6035.706"
"3","6","18","0","0","10","0","0","10","0","0"
"3","6","19","0","0","10","0","0","10","0","0"
"3","6","20","0","0","9","0","0","9","0","0"
"3","6","21","0","0","9","0","0","9","0","0"
"3","6","22","0","0","8","0","0","8","0","0"
"3","6","23","0","0","8","0","0","8","0","0"
"3","7","0","0","0","7","0","0","7","0","0"
"3","7","1","0","0","7","0","0","7","0","0"
"3","7","2","0","0","7","0","0","7","0","0"
"3","7","3","0","0","7","0","0","7","0","0"
"3","7","4","0","0","7","0","0","7","0","0"
"3","7","5","0","0","8","0","0","8","0","0"
"3","7","6","0","0","8","0","0","8","0","0"
"3","7","7","350","44","8","0","133.632","10.415","22797.443","21115.406"
"3","7","8","193","119","8","0","217.053","15.743","41761.336","39643.984"
"3","7","9","0","113","9","1","108.956","11.291","22057.707","20391.527"
"3","7","10","1","166","9","1","162.866","12.489","32796.176","30891.521"
"3","7","11","19","227","10","1","240.983","16.354","47686.023","45421.32"
"3","7","12","3","183","10","1","181.409","14.828","36150.895","34168.098"
"3","7","13","0","134","10","1","129.158","12.774","25976.479","24225.33"
"3","7","14","0","119","10","1","114.447","11.989","23098.004","21409.5"
"3","7","15","204","172","9","0","302.393","19.942","58136.148","55598.363"
"3","7","16","606","65","8","0","314.74","21.14","56034.359","53552.848"
"3","7","17","269","33","6","0","85.497","10.473","13902.737","12405.802"
"3","7","18","0","0","4","0","0","4","0","0"
"3","7","19","0","0","4","0","0","4","0","0"
"3","7","20","0","0","4","0","0","4","0","0"
"3","7","21","0","0","5","0","0","5","0","0"
"3","7","22","0","0","5","0","0","5","0","0"
"3","7","23","0","0","4","0","0","4","0","0"
"3","8","0","0","0","4","0","0","4","0","0"
"3","8","1","0","0","4","0","0","4","0","0"
"3","8","2","0","0","4","0","0","4","0","0"
"3","8","3","0","0","4","0","0","4","0","0"
"3","8","4","0","0","4","0","0","4","0","0"
"3","8","5","0","0","4","0","0","4","0","0"
"3","8","6","0","0","4","0","0","4","0","0"
"3","8","7","0","43","4","1","41.354","2.636","8691.937","7297.78"
"3","8","8","71","123","5","1","157.437","7.899","31856.332","29973.258"
"3","8","9","157","195","6","1","308.147","14.54","61039.934","58423.285"
"3","8","10","47","232","7","1","277.05","15.321","55037.957","52582.887"
"3","8","11","45","261","7","1","310.645","16.24","61493.258","58864.18"
"3","8","12","11","216","7","1","222.495","13.566","44586.887","42399.934"
"3","8","13","1","173","7","1","169.52","11.339","34310.926","32371.203"
"3","8","14","74","231","7","0","294.675","18.197","57731.91","55205.004"
"3","8","15","0","67","6","0","63.636","9.317","12995.211","11516.477"
"3","8","16","0","46","5","0","43.642","3.654","9133.198","7730.5"
"3","8","17","0","12","5","0","11.356","1.636","2397.104","1121.533"
"3","8","18","0","0","5","0","0","5","0","0"
"3","8","19","0","0","5","0","0","5","0","0"
"3","8","20","0","0","5","0","0","5","0","0"
"3","8","21","0","0","4","0","0","4","0","0"
"3","8","22","0","0","4","0","0","4","0","0"
"3","8","23","0","0","3","0","0","3","0","0"
"3","9","0","0","0","3","0","0","3","0","0"
"3","9","1","0","0","3","0","0","3","0","0"
"3","9","2","0","0","3","0","0","3","0","0"
"3","9","3","0","0","3","0","0","3","0","0"
"3","9","4","0","0","3","0","0","3","0","0"
"3","9","5","0","0","3","0","0","3","0","0"
"3","9","6","0","0","3","0","0","3","0","0"
"3","9","7","0","21","3","0","19.891","-0.622","4238.622","2928.991"
"3","9","8","0","93","4","1","89.964","4.442","18763.639","17167.057"
"3","9","9","150","199","4","1","308.459","12.213","61769.289","59132.629"
"3","9","10","0","22","5","1","20.876","4.795","4347.487","3035.826"
"3","9","11","0","168","6","1","163.39","8.99","33413.945","31495.031"
"3","9","12","0","129","6","1","124","8.475","25415.539","23676.697"
"3","9","13","0","83","6","1","78.941","6.71","16304.602","14758.884"
"3","9","14","0","63","6","1","59.854","5.783","12411.982","10944.878"
"3","9","15","0","64","6","1","60.779","5.701","12608.258","11137.245"
"3","9","16","605","66","6","1","317.859","14.339","58500.332","55952.727"
"3","9","17","289","34","6","1","90.827","8.243","14868.784","13352.334"
"3","9","18","0","0","6","0","0","6","0","0"
"3","9","19","0","0","7","0","0","7","0","0"
"3","9","20","0","0","7","0","0","7","0","0"
"3","9","21","0","0","7","0","0","7","0","0"
"3","9","22","0","0","7","0","0","7","0","0"
"3","9","23","0","0","7","0","0","7","0","0"
"3","10","0","0","0","7","0","0","7","0","0"
"3","10","1","0","0","7","0","0","7","0","0"
"3","10","2","0","0","7","0","0","7","0","0"
"3","10","3","0","0","7","0","0","7","0","0"
"3","10","4","0","0","7","0","0","7","0","0"
"3","10","5","0","0","7","0","0","7","0","0"
"3","10","6","0","0","7","0","0","7","0","0"
"3","10","7","0","27","8","0","25.59","4.821","5328.671","3998.633"
"3","10","8","0","48","8","1","45.542","7.007","9394.287","7986.521"
"3","10","9","0","119","9","1","114.806","10.513","23322","21628.666"
"3","10","10","71","249","10","1","314.336","18.472","61546.355","58915.82"
"3","10","11","0","160","11","1","155.181","15.363","30851.131","28990.988"
"3","10","12","0","166","12","1","161.179","15.706","31994.227","30107.994"
"3","10","13","0","75","12","1","71.317","12.745","14345.154","12839.3"
"3","10","14","0","37","11","1","35.122","9.986","7151.247","5786.679"
"3","10","15","0","52","11","1","49.357","10.261","10037.675","8617.375"
"3","10","16","0","23","11","1","21.787","9.404","4447.489","3133.962"
"3","10","17","0","11","11","1","10.408","8.859","2129.645","858.978"
"3","10","18","0","0","11","1","0","11","0","0"
"3","10","19","0","0","11","1","0","11","0","0"
"3","10","20","0","0","11","1","0","11","0","0"
"3","10","21","0","0","11","1","0","11","0","0"
"3","10","22","0","0","11","1","0","11","0","0"
"3","10","23","0","0","11","1","0","11","0","0"
"3","11","0","0","0","11","1","0","11","0","0"
"3","11","1","0","0","11","1","0","11","0","0"
"3","11","2","0","0","11","1","0","11","0","0"
"3","11","3","0","0","11","1","0","11","0","0"
"3","11","4","0","0","11","1","0","11","0","0"
"3","11","5","0","0","11","1","0","11","0","0"
"3","11","6","0","0","11","1","0","11","0","0"
"3","11","7","0","36","12","1","34.152","10.571","6935.975","5575.512"
"3","11","8","54","129","13","1","156.126","15.891","30619.477","28764.596"
"3","11","9","0","112","14","1","107.687","15.963","21351.225","19700.113"
"3","11","10","23","218","15","1","233.595","20.832","45275.824","43071.719"
"3","11","11","63","281","16","1","348.014","26.078","65828.922","63079.371"
"3","11","12","9","212","17","1","216.235","23.502","41413.035","39304.18"
"3","11","13","0","167","17","1","162.301","21.11","31432.832","29559.438"
"3","11","14","0","155","17","1","150.645","20.452","29264.008","27439.752"
"3","11","15","0","85","16","1","80.986","17.086","15975.828","14436.84"
"3","11","16","311","98","15","0","235.38","22.937","42774.684","40632.512"
"3","11","17","0","21","14","0","19.9","14.756","3966.968","2662.394"
"3","11","18","0","0","13","0","0","13","0","0"
"3","11","19","0","0","13","0","0","13","0","0"
"3","11","20","0","0","13","0","0","13","0","0"
"3","11","21","0","0","13","0","0","13","0","0"
"3","11","22","0","0","12","1","0","12","0","0"
"3","11","23","0","0","12","1","0","12","0","0"
"3","12","0","0","0","12","1","0","12","0","0"
"3","12","1","0","0","12","1","0","12","0","0"
"3","12","2","0","0","11","1","0","11","0","0"
"3","12","3","0","0","11","0","0","11","0","0"
"3","12","4","0","0","10","0","0","10","0","0"
"3","12","5","0","0","9","0","0","9","0","0"
"3","12","6","0","0","8","0","0","8","0","0"
"3","12","7","0","7","8","0","6.62","3.963","1383.518","126.471"
"3","12","8","0","9","8","0","8.521","4.08","1779.904","515.632"
"3","12","9","0","106","9","0","101.632","9.745","20715.516","19077.896"
"3","12","10","0","165","9","0","160.535","14.001","32110.949","30222.041"
"3","12","11","62","283","10","0","349.229","23.118","66983.969","64201.832"
"3","12","12","0","132","11","0","126.911","17.373","25002.746","23272.932"
"3","12","13","31","250","11","0","285.098","21.376","55131.523","52673.98"
"3","12","14","602","152","11","0","631.374","34.889","113774.289","109499.516"
"3","12","15","799","78","10","0","569.082","34.216","100993.719","97160.117"
"3","12","16","672","62","9","0","343.675","25.321","60117.855","57526.391"
"3","12","17","0","26","6","0","24.654","8.429","5054.283","3729.399"
"3","12","18","0","0","4","0","0","4","0","0"
"3","12","19","0","0","3","0","0","3","0","0"
"3","12","20","0","0","3","0","0","3","0","0"
"3","12","21","0","0","2","0","0","2","0","0"
"3","12","22","0","0","2","0","0","2","0","0"
"3","12","23","0","0","2","0","0","2","0","0"
"3","13","0","0","0","2","0","0","2","0","0"
"3","13","1","0","0","2","0","0","2","0","0"
"3","13","2","0","0","2","0","0","2","0","0"
"3","13","3","0","0","1","0","0","1","0","0"
"3","13","4","0","0","1","0","0","1","0","0"
"3","13","5","0","0","1","0","0","1","0","0"
"3","13","6","0","0","2","0","0","2","0","0"
"3","13","7","0","47","3","0","44.932","0.54","9528.129","8117.761"
"3","13","8","127","138","5","0","204.855","11.209","40683.445","38592.32"
"3","13","9","205","207","6","0","353.932","19.789","68454.641","65630.719"
"3","13","10","110","266","7","0","363.649","22.384","69913.93","67048.219"
"3","13","11","146","306","7","0","458.98","25.831","86899.516","83523.266"
"3","13","12","117","317","7","0","437.367","25.807","82836.43","79586.344"
"3","13","13","130","296","8","0","431.046","26.373","81391.266","78185.445"
"3","13","14","61","238","8","0","291.957","21.419","56385.504","53894.641"
"3","13","15","19","163","7","0","171.503","14.638","34141.406","32205.623"
"3","13","16","0","74","6","0","70.893","8.018","14559.575","13049.387"
"3","13","17","0","32","5","0","30.468","3.06","6392.422","5042.292"
"3","13","18","0","0","4","0","0","4","0","0"
"3","13","19","0","0","4","0","0","4","0","0"
"3","13","20","0","0","3","0","0","3","0","0"
"3","13","21","0","0","3","0","0","3","0","0"
"3","13","22","0","0","3","0","0","3","0","0"
"3","13","23","0","0","3","0","0","3","0","0"
"3","14","0","0","0","3","0","0","3","0","0"
"3","14","1","0","0","3","0","0","3","0","0"
"3","14","2","0","0","3","0","0","3","0","0"
"3","14","3","0","0","3","0","0","3","0","0"
"3","14","4","0","0","2","0","0","2","0","0"
"3","14","5","0","0","2","0","0","2","0","0"
"3","14","6","0","0","2","0","0","2","0","0"
"3","14","7","0","11","3","0","10.407","-1.078","2221.972","949.613"
"3","14","8","0","113","4","0","109.848","5.092","22847.035","21163.934"
"3","14","9","251","205","5","0","389.934","19.322","75531.945","72502.289"
"3","14","10","0","83","6","0","78.931","11.019","15998.502","14459.051"
"3","14","11","177","308","7","0","488.246","24.64","92955.016","89386.016"
"3","14","12","389","279","8","0","659.563","34.334","119842.953","115349.883"
"3","14","13","470","237","9","0","675.175","36.849","121057.367","116519.938"
"3","14","14","854","97","8","0","759.294","38.657","134171.594","129140.617"
"3","14","15","785","86","8","0","572.95","33.322","102250.961","98375.078"
"3","14","16","650","70","7","0","346.002","23.54","61309.227","58685.195"
"3","14","17","369","40","5","0","113.601","10.991","18276.951","16690.51"
"3","14","18","0","0","3","0","0","3","0","0"
"3","14","19","0","0","3","0","0","3","0","0"
"3","14","20","0","0","2","0","0","2","0","0"
"3","14","21","0","0","1","0","0","1","0","0"
"3","14","22","0","0","1","0","0","1","0","0"
"3","14","23","0","0","0","0","0","0","0","0"
"3","15","0","0","0","0","0","0","0","0","0"
"3","15","1","0","0","0","0","0","0","0","0"
"3","15","2","0","0","0","0","0","0","0","0"
"3","15","3","0","0","0","0","0","0","0","0"
"3","15","4","0","0","0","0","0","0","0","0"
"3","15","5","0","0","0","0","0","0","0","0"
"3","15","6","0","0","0","0","0","0","0","0"
"3","15","7","537","46","2","0","195.424","7.265","33818.344","31890.064"
"3","15","8","229","138","5","0","259.027","15.085","50182.461","47854.047"
"3","15","9","826","78","8","0","639.053","32.132","115624.313","111283.594"
"3","15","10","291","260","10","0","519.875","32.662","95080.945","91442.938"
"3","15","11","287","297","11","0","583.317","34.88","105698.352","101705.273"
"3","15","12","84","310","12","0","399.782","30.179","74164.414","71175.117"
"3","15","13","17","232","13","0","243.371","24.219","46449.52","44216.016"
"3","15","14","0","136","13","0","131.139","18.434","25711.367","23966.041"
"3","15","15","19","166","12","0","174.366","17.979","34194.316","32257.307"
"3","15","16","235","112","11","0","216.403","19.133","40479.801","38393.609"
"3","15","17","0","42","10","0","40.467","11.321","8191.402","6806.898"
"3","15","18","0","0","9","0","0","9","0","0"
"3","15","19","0","0","8","0","0","8","0","0"
"3","15","20","0","0","6","0","0","6","0","0"
"3","15","21","0","0","6","0","0","6","0","0"
"3","15","22","0","0","6","0","0","6","0","0"
"3","15","23","0","0","6","0","0","6","0","0"
"3","16","0","0","0","6","0","0","6","0","0"
"3","16","1","0","0","6","0","0","6","0","0"
"3","16","2","0","0","6","0","0","6","0","0"
"3","16","3","0","0","6","0","0","6","0","0"
"3","16","4","0","0","6","0","0","6","0","0"
"3","16","5","0","0","6","0","0","6","0","0"
"3","16","6","0","0","7","0","0","7","0","0"
"3","16","7","67","70","10","0","90.145","9.863","17575.207","16003.322"
"3","16","8","510","100","13","0","362.282","25.919","65733.859","62986.98"
"3","16","9","367","191","15","0","452.379","33.217","81920.188","78698.203"
"3","16","10","732","129","16","0","741.764","44.171","127828.344","123039.398"
"3","16","11","877","95","17","0","881.634","50.937","146991.359","141452.344"
"3","16","12","605","206","18","0","789.61","49.878","132490.906","127524.672"
"3","16","13","877","92","19","0","859.028","52.35","142050.469","136710.266"
"3","16","14","845","86","18","0","744.009","48.402","125063.313","120377.93"
"3","16","15","791","75","18","0","567.68","42.346","96855.914","93159.75"
"3","16","16","682","60","16","0","349.775","32.193","59362.387","56791.457"
"3","16","17","435","35","14","0","121.924","20.19","18342.689","16754.879"
"3","16","18","0","0","12","0","0","12","0","0"
"3","16","19","0","0","11","0","0","11","0","0"
"3","16","20","0","0","10","0","0","10","0","0"
"3","16","21","0","0","9","0","0","9","0","0"
"3","16","22","0","0","8","0","0","8","0","0"
"3","16","23","0","0","7","0","0","7","0","0"
"3","17","0","0","0","7","0","0","7","0","0"
"3","17","1","0","0","7","0","0","7","0","0"
"3","17","2","0","0","7","0","0","7","0","0"
"3","17","3","0","0","6","0","0","6","0","0"
"3","17","4","0","0","6","0","0","6","0","0"
"3","17","5","0","0","6","0","0","6","0","0"
"3","17","6","0","0","7","0","0","7","0","0"
"3","17","7","0","18","8","0","17.042","4.426","3554.63","2257.711"
"3","17","8","0","70","9","0","66.494","7.975","13658.511","12166.485"
"3","17","9","174","221","10","0","350.619","22.325","67135.391","64348.965"
"3","17","10","845","103","11","1","802.526","35.385","144556.594","139116.016"
"3","17","11","868","108","12","1","897.659","40.908","157716.125","151732.641"
"3","17","12","870","109","13","1","918.064","42.782","159835.516","153762.094"
"3","17","13","585","200","14","1","736.172","38.711","130764.641","125864.438"
"3","17","14","437","215","13","0","577.561","37.943","102696.297","98805.375"
"3","17","15","39","181","13","0","207.863","24.451","39513.043","37450.195"
"3","17","16","0","28","12","0","26.534","12.716","5337.975","4007.762"
"3","17","17","0","3","11","0","2.835","7.295","584.119","0"
"3","17","18","0","0","10","0","0","10","0","0"
"3","17","19","0","0","10","0","0","10","0","0"
"3","17","20","0","0","10","0","0","10","0","0"
"3","17","21","0","0","10","0","0","10","0","0"
"3","17","22","0","0","10","0","0","10","0","0"
"3","17","23","0","0","9","0","0","9","0","0"
"3","18","0","0","0","9","0","0","9","0","0"
"3","18","1","0","0","9","0","0","9","0","0"
"3","18","2","0","0","9","0","0","9","0","0"
"3","18","3","0","0","9","0","0","9","0","0"
"3","18","4","0","0","8","0","0","8","0","0"
"3","18","5","0","0","8","0","0","8","0","0"
"3","18","6","0","1","8","0","0.944","3.731","197.568","0"
"3","18","7","0","13","9","0","12.302","5.207","2557.502","1278.985"
"3","18","8","0","32","10","0","30.339","7.239","6251.845","4904.381"
"3","18","9","0","96","11","1","91.551","11.669","18503.215","16912.064"
"3","18","10","1","171","12","1","166.907","15.549","33153.793","31240.891"
"3","18","11","30","269","13","1","304.509","21.404","58885.328","56327.32"
"3","18","12","539","234","14","1","760.197","36.806","136451.547","131332.063"
"3","18","13","355","281","15","1","618.339","35.613","111602.102","107404.078"
"3","18","14","144","265","15","1","392.898","28.306","73406.117","70439.07"
"3","18","15","255","191","14","0","362.805","29.393","66802.313","64025.316"
"3","18","16","0","20","13","0","18.944","15.304","3767.237","2466.375"
"3","18","17","158","51","11","0","83.922","11.245","14964.546","13446.154"
"3","18","18","0","0","9","0","0","9","0","0"
"3","18","19","0","0","8","0","0","8","0","0"
"3","18","20","0","0","8","0","0","8","0","0"
"3","18","21","0","0","7","0","0","7","0","0"
"3","18","22","0","0","7","0","0","7","0","0"
"3","18","23","0","0","7","0","0","7","0","0"
"3","19","0","0","0","7","0","0","7","0","0"
"3","19","1","0","0","7","0","0","7","0","0"
"3","19","2","0","0","7","0","0","7","0","0"
"3","19","3","0","0","7","0","0","7","0","0"
"3","19","4","0","0","8","0","0","8","0","0"
"3","19","5","0","0","8","0","0","8","0","0"
"3","19","6","0","10","8","0","9.465","4.107","1976.94","709.067"
"3","19","7","185","75","9","1","131.23","10.862","24499.727","22780.877"
"3","19","8","61","150","9","1","181.729","13.238","36128.117","34145.855"
